"brand";"model";"energy";"hybrid";"tax_horsepower";"kwpower";"consumption";"co2";"co_typ_1";"hc";"nox";"hcnox";"weight";"id"
"Alfa Romeo";"Alfa Romeo 159 ";"Petrol";"No";12;147;7,8;182;0,647;0,052;0,032;0;1505;"Alfa Romeo 159 Petrol"
"Alfa Romeo";"Alfa Romeo 159 ";"Diesel";"No";9;125;5,1;136;0,192;0;0,169;0,19;1565;"Alfa Romeo 159 Diesel"
"Alfa Romeo";"Alfa Romeo 4C ";"Petrol";"No";14;177;6,8;157;0,404;0,044;0,038;0;995;"Alfa Romeo 4C Petrol"
"Alfa Romeo";"Alfa Romeo 8C ";"Petrol";"No";38;331;16,3;379;0,501;0,038;0,027;0;1750;"Alfa Romeo 8C Petrol"
"Alfa Romeo";"Alfa Romeo BRERA ";"Petrol";"No";12;147;8,1;189;0,601;0,06;0,04;0;1505;"Alfa Romeo BRERA Petrol"
"Alfa Romeo";"Alfa Romeo BRERA ";"Diesel";"No";9;125;5,4;142;0,189;0;0,155;0,18;1555;"Alfa Romeo BRERA Diesel"
"Alfa Romeo";"Alfa Romeo GIULIETTA ";"Petrol";"No";7;88;6,4;149;0,356;0,03;0,026;0;1355;"Alfa Romeo GIULIETTA Petrol"
"Alfa Romeo";"Alfa Romeo GIULIETTA ";"Diesel";"No";5;77;4,4;114;0,215;0;0,173;0,207;1385;"Alfa Romeo GIULIETTA Diesel"
"Alfa Romeo";"Alfa Romeo GIULIETTA ";"Petrol/PGL";"No";7;88;6,4;148;0,36;0,036;0,013;0;1392;"Alfa Romeo GIULIETTA Petrol/PGL"
"Alfa Romeo";"Alfa Romeo MITO ";"Diesel";"No";6;88;4,4;114;0,389;0;0,155;0,216;1280;"Alfa Romeo MITO Diesel"
"Alfa Romeo";"Alfa Romeo MITO ";"Petrol/PGL";"No";6;88;6,2;145;0,574;0,038;0,018;0;1220;"Alfa Romeo MITO Petrol/PGL"
"Alfa Romeo";"Alfa Romeo MITO ";"Petrol";"No";6;77;5,8;136;0,192;0,049;0,04;0;1185;"Alfa Romeo MITO Petrol"
"Alfa Romeo";"Alfa Romeo SPIDER ";"Petrol";"No";12;147;8,2;192;0,601;0,06;0,04;0;1565;"Alfa Romeo SPIDER Petrol"
"Alfa Romeo";"Alfa Romeo SPIDER ";"Diesel";"No";9;125;5,4;142;0,189;0;0,155;0,18;1615;"Alfa Romeo SPIDER Diesel"
"Audi";"Audi A1 ";"Petrol";"No";5;70;4,4;102;0,183;0,048;0,023;0;1140;"Audi A1 Petrol"
"Audi";"Audi A1 ";"Diesel";"No";4;66;3,6;94;0,128;0;0,044;0,076;1195;"Audi A1 Diesel"
"Audi";"Audi A3 ";"Petrol";"No";10;132;5,6;129;0,34;0,054;0,027;0;1325;"Audi A3 Petrol"
"Audi";"Audi A3 ";"Diesel";"No";5;81;3,9;102;0,134;0;0,063;0,095;1325;"Audi A3 Diesel"
"Audi";"Audi A3 ";"Petrol/Electricity (Rechargeable)";"Yes";6;110;1,5;35;0,055;0,009;0,01;0;1615;"Audi A3 Petrol/Electricity (Rechargeable)"
"Audi";"Audi A4 ";"Petrol";"No";9;125;6;139;0,299;0,044;0,017;0;1605;"Audi A4 Petrol"
"Audi";"Audi A4 ";"Diesel";"No";15;180;5,9;154;0,127;0;0,059;0,072;1855;"Audi A4 Diesel"
"Audi";"Audi A5 ";"Petrol";"No";9;125;5,8;134;0,256;0,044;0,021;0,001;1530;"Audi A5 Petrol"
"Audi";"Audi A5 ";"Diesel";"No";14;180;5,7;149;0,127;0;0,059;0,072;1770;"Audi A5 Diesel"
"Audi";"Audi A6 ";"Diesel";"No";10;140;4,4;115;0,093;0;0,055;0,068;1800;"Audi A6 Diesel"
"Audi";"Audi A6 ";"Petrol";"No";22;245;7,6;177;0,451;0,034;0,011;0;1890;"Audi A6 Petrol"
"Audi";"Audi A7 ";"Petrol";"No";22;245;7,6;176;0,505;0,039;0,008;0;1885;"Audi A7 Petrol"
"Audi";"Audi A7 ";"Diesel";"No";16;200;5,2;136;0,266;0;0,067;0,091;1905;"Audi A7 Diesel"
"Audi";"Audi A8 ";"Petrol";"No";20;228;7,9;184;0,452;0,042;0,018;0;1955;"Audi A8 Petrol"
"Audi";"Audi A8 ";"Diesel";"No";16;190;6;158;0,218;0;0,053;0,077;2010;"Audi A8 Diesel"
"Audi";"Audi Q3 ";"Petrol";"No";10;132;6,6;152;0,495;0,043;0,009;0;1615;"Audi Q3 Petrol"
"Audi";"Audi Q3 ";"Diesel";"No";7;100;4,8;126;0,166;0;0,061;0,086;1560;"Audi Q3 Diesel"
"Audi";"Audi Q5 ";"Diesel";"No";10;130;6,1;159;0,186;0;0,091;0,123;1905;"Audi Q5 Diesel"
"Audi";"Audi Q5 ";"Petrol";"No";11;132;7,5;174;0,247;0,029;0,026;0;1805;"Audi Q5 Petrol"
"Audi";"Audi Q7 ";"Diesel";"No";24;250;9,2;242;0,302;0;0,167;0,205;2515;"Audi Q7 Diesel"
"Audi";"Audi Q7 ";"Petrol";"No";24;245;10,7;249;0,269;0,043;0,049;0;2345;"Audi Q7 Petrol"
"Audi";"Audi R8 ";"Petrol";"No";34;316;12,4;289;0,523;0,068;0,05;0;1660;"Audi R8 Petrol"
"Audi";"Audi TT ";"Petrol";"No";13;169;6,3;146;0,304;0,041;0,014;0;1335;"Audi TT Petrol"
"Bentley";"Bentley CONTINENTAL ";"Petrol";"No";59;467;14,5;338;0,673;0,06;0,028;0;2395;"Bentley CONTINENTAL Petrol"
"Bentley";"Bentley FLYING SPUR ";"Petrol";"No";57;460;14,7;343;0,673;0,06;0,028;0;2565;"Bentley FLYING SPUR Petrol"
"Bentley";"Bentley MULSANNE ";"Petrol";"No";44;377;14,6;342;0,817;0,055;0,034;0;2760;"Bentley MULSANNE Petrol"
"BMW";"BMW 114 ";"Diesel";"No";5;70;4,1;109;0,447;0;0,16;0,191;1395;"BMW 114 Diesel"
"BMW";"BMW 116 ";"Diesel";"No";5;85;3,6;96;0,086;0;0,025;0,052;1425;"BMW 116 Diesel"
"BMW";"BMW 116 ";"Petrol";"No";6;80;5;116;0,164;0,041;0,016;0;1375;"BMW 116 Petrol"
"BMW";"BMW 118 ";"Diesel";"No";7;110;3,8;99;0,169;0;0,03;0,036;1450;"BMW 118 Diesel"
"BMW";"BMW 118 ";"Petrol";"No";7;100;5,6;129;0,313;0,054;0,02;0;1395;"BMW 118 Petrol"
"BMW";"BMW 120 ";"Diesel";"No";10;140;3,9;103;0,102;0;0,02;0,026;1460;"BMW 120 Diesel"
"BMW";"BMW 120 ";"Petrol";"No";9;130;5,6;129;0,293;0,045;0,015;0;1390;"BMW 120 Petrol"
"BMW";"BMW 125 ";"Petrol";"No";12;160;6,3;148;0,25;0,03;0,028;0;1445;"BMW 125 Petrol"
"BMW";"BMW 125 ";"Diesel";"No";12;165;4,3;114;0,105;0;0,037;0,045;1505;"BMW 125 Diesel"
"BMW";"BMW 214 ";"Diesel";"No";5;70;3,8;99;0,136;0;0,028;0,059;1425;"BMW 214 Diesel"
"BMW";"BMW 214 ";"Petrol";"No";7;100;5,3;123;0,329;0,055;0,019;0;1470;"BMW 214 Petrol"
"BMW";"BMW 216 ";"Diesel";"No";6;85;3,8;99;0,099;0;0,053;0,079;1440;"BMW 216 Diesel"
"BMW";"BMW 218 ";"Petrol";"No";14;180;6,3;148;0,25;0,03;0,028;0;1480;"BMW 218 Petrol"
"BMW";"BMW 218 ";"Diesel";"No";7;105;4,4;116;0,124;0;0,02;0,028;1455;"BMW 218 Diesel"
"BMW";"BMW 220 ";"Petrol";"No";10;135;5,9;138;0,263;0,036;0,036;0;1445;"BMW 220 Petrol"
"BMW";"BMW 220 ";"Diesel";"No";10;140;3,9;104;0,102;0;0,02;0,026;1485;"BMW 220 Diesel"
"BMW";"BMW 225 ";"Diesel";"No";12;160;4,7;124;0,152;0;0,021;0,036;1495;"BMW 225 Diesel"
"BMW";"BMW 225 ";"Petrol";"No";13;170;5,8;135;0,304;0,046;0,028;0;1505;"BMW 225 Petrol"
"BMW";"BMW 228 ";"Petrol";"No";15;180;6,6;154;0,25;0,03;0,028;0;1630;"BMW 228 Petrol"
"BMW";"BMW 235 ";"Petrol";"No";21;240;7,6;176;0,613;0,048;0,02;0;1545;"BMW 235 Petrol"
"BMW";"BMW 316 ";"Petrol";"No";7;100;5,9;138;0,319;0,045;0,025;0;1545;"BMW 316 Petrol"
"BMW";"BMW 316 ";"Diesel";"No";6;85;4,1;109;0,232;0;0,028;0,041;1585;"BMW 316 Diesel"
"BMW";"BMW 318 ";"Diesel";"No";8;105;4,8;127;0,047;0;0,048;0,048;1635;"BMW 318 Diesel"
"BMW";"BMW 320 ";"Petrol";"No";10;135;6,2;145;0,278;0,045;0,019;0;1635;"BMW 320 Petrol"
"BMW";"BMW 320 ";"Diesel";"No";10;135;4,9;129;0,156;0;0,049;0,053;1650;"BMW 320 Diesel"
"BMW";"BMW 325 ";"Diesel";"No";12;160;5;131;0,067;0;0,045;0,088;1690;"BMW 325 Diesel"
"BMW";"BMW 328 ";"Petrol";"No";15;180;6,8;159;0,264;0,037;0,032;0;1735;"BMW 328 Petrol"
"BMW";"BMW 330 ";"Diesel";"No";15;190;5,1;135;0,203;0;0,048;0,074;1735;"BMW 330 Diesel"
"BMW";"BMW 335 ";"Petrol";"No";20;225;8;187;0,276;0,028;0,013;0;1790;"BMW 335 Petrol"
"BMW";"BMW 335 ";"Diesel";"No";20;230;5,6;148;0,233;0;0,04;0,091;1820;"BMW 335 Diesel"
